1 ID:-1 Name:'ActionTableStandin' ContextID:-1 ContextName:'undefined' NumActionItems:6
	1 ID:26727 Desc:'Missing: 0' Cat:'Missing: 0' BtnTxt:'Missing: 0' MnuTxt:'Missing: 0'
	10 ID:30001 Desc:'Select Sub-Object By Name' Cat:'NURBS Surfaces' BtnTxt:'Select Sub-Object By Name' MnuTxt:'Select Sub-Object By Name'
	11 ID:30035 Desc:'Soft Selection' Cat:'NURBS Surfaces' BtnTxt:'Soft Selection' MnuTxt:'Soft Selection'
	12 ID:30004 Desc:'Select Next in U' Cat:'NURBS Surfaces' BtnTxt:'Select Next in U' MnuTxt:'Select Next in U'
	13 ID:30005 Desc:'Select Previous in U' Cat:'NURBS Surfaces' BtnTxt:'Select Previous in U' MnuTxt:'Select Previous in U'
	14 ID:30006 Desc:'Select Next in V' Cat:'NURBS Surfaces' BtnTxt:'Select Next in V' MnuTxt:'Select Next in V'
	15 ID:30007 Desc:'Select Previous in V' Cat:'NURBS Surfaces' BtnTxt:'Select Previous in V' MnuTxt:'Select Previous in V'
	16 ID:30020 Desc:'Switch To Top Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Top Level' MnuTxt:'Switch To Top Level'
	17 ID:30021 Desc:'Switch To Surface CV Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Surface CV Level' MnuTxt:'Switch To Surface CV Level'
	18 ID:30022 Desc:'Switch To Surface Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Surface Level' MnuTxt:'Switch To Surface Level'
	19 ID:30023 Desc:'Switch To Curve CV Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Curve CV Level' MnuTxt:'Switch To Curve CV Level'
	20 ID:30024 Desc:'Switch To Point Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Point Level' MnuTxt:'Switch To Point Level'
	21 ID:30025 Desc:'Switch To Curve Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Curve Level' MnuTxt:'Switch To Curve Level'
	22 ID:30026 Desc:'Switch To Imports Level' Cat:'NURBS Surfaces' BtnTxt:'Switch To Imports Level' MnuTxt:'Switch To Imports Level'
	23 ID:30036 Desc:'Lock 2D Selection' Cat:'NURBS Surfaces' BtnTxt:'Lock 2D Selection' MnuTxt:'Lock 2D Selection'
	24 ID:30028 Desc:'Set Tessellation Preset 1' Cat:'NURBS Surfaces' BtnTxt:'Set Tessellation Preset 1' MnuTxt:'Set Tessellation Preset 1'
	25 ID:30029 Desc:'Set Tessellation Preset 2' Cat:'NURBS Surfaces' BtnTxt:'Set Tessellation Preset 2' MnuTxt:'Set Tessellation Preset 2'
	26 ID:30030 Desc:'Set Tessellation Preset 3' Cat:'NURBS Surfaces' BtnTxt:'Set Tessellation Preset 3' MnuTxt:'Set Tessellation Preset 3'
	27 ID:25000 Desc:'Create Point Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Point Curve' MnuTxt:'Create Point Curve'
	28 ID:25001 Desc:'Create CV Curve' Cat:'NURBS Surfaces' BtnTxt:'Create CV Curve' MnuTxt:'Create CV Curve'
	29 ID:25002 Desc:'Create Blend Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Blend Curve' MnuTxt:'Create Blend Curve'
	30 ID:25003 Desc:'Create Fillet Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Fillet Curve' MnuTxt:'Create Fillet Curve'
	31 ID:25004 Desc:'Create Chamfer Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Chamfer Curve' MnuTxt:'Create Chamfer Curve'
	32 ID:25005 Desc:'Create Transform Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Transform Curve' MnuTxt:'Create Transform Curve'
	33 ID:25006 Desc:'Create Offset Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Offset Curve' MnuTxt:'Create Offset Curve'
	34 ID:25007 Desc:'Create Fit Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Fit Curve' MnuTxt:'Create Fit Curve'
	35 ID:25008 Desc:'Create Mirror Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Mirror Curve' MnuTxt:'Create Mirror Curve'
	36 ID:25009 Desc:'Create U Iso Curve' Cat:'NURBS Surfaces' BtnTxt:'Create U Iso Curve' MnuTxt:'Create U Iso Curve'
	37 ID:25010 Desc:'Create V Iso Curve' Cat:'NURBS Surfaces' BtnTxt:'Create V Iso Curve' MnuTxt:'Create V Iso Curve'
	38 ID:25067 Desc:'Create Surface Edge Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Surface Edge Curve' MnuTxt:'Create Surface Edge Curve'
	39 ID:25011 Desc:'Create Surface-Surface Intersection Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Surface-Surface Intersection Curve' MnuTxt:'Create Surface-Surface Intersection Curve'
	40 ID:25012 Desc:'Create Normal Projected Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Normal Projected Curve' MnuTxt:'Create Normal Projected Curve'
	41 ID:25013 Desc:'Create Vector Projected Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Vector Projected Curve' MnuTxt:'Create Vector Projected Curve'
	42 ID:25014 Desc:'Create Surface Offset Curve' Cat:'NURBS Surfaces' BtnTxt:'Create Surface Offset Curve' MnuTxt:'Create Surface Offset Curve'
	43 ID:25015 Desc:'Create CV Curve on Surface' Cat:'NURBS Surfaces' BtnTxt:'Create CV Curve on Surface' MnuTxt:'Create CV Curve on Surface'
	44 ID:25016 Desc:'Create Point Curve on Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Point Curve on Surface' MnuTxt:'Create Point Curve on Surface'
	45 ID:25017 Desc:'Create CV Surface' Cat:'NURBS Surfaces' BtnTxt:'Create CV Surface' MnuTxt:'Create CV Surface'
	46 ID:25018 Desc:'Create Offset Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Offset Surface' MnuTxt:'Create Offset Surface'
	47 ID:25019 Desc:'Create Point Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Point Surface' MnuTxt:'Create Point Surface'
	48 ID:25020 Desc:'Create Transform Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Transform Surface' MnuTxt:'Create Transform Surface'
	49 ID:25021 Desc:'Create Mirror Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Mirror Surface' MnuTxt:'Create Mirror Surface'
	50 ID:25022 Desc:'Create Extrude Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Extrude Surface' MnuTxt:'Create Extrude Surface'
	51 ID:25023 Desc:'Create Lathe Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Lathe Surface' MnuTxt:'Create Lathe Surface'
	52 ID:25024 Desc:'Create Ruled Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Ruled Surface' MnuTxt:'Create Ruled Surface'
	53 ID:25025 Desc:'Create Blend Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Blend Surface' MnuTxt:'Create Blend Surface'
	54 ID:25026 Desc:'Create a Multisided Blend Surface' Cat:'NURBS Surfaces' BtnTxt:'Create a Multisided Blend Surface' MnuTxt:'Create a Multisided Blend Surface'
	55 ID:25027 Desc:'Create U Loft Surface' Cat:'NURBS Surfaces' BtnTxt:'Create U Loft Surface' MnuTxt:'Create U Loft Surface'
	56 ID:25028 Desc:'Create Cap Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Cap Surface' MnuTxt:'Create Cap Surface'
	57 ID:25029 Desc:'Create UV Loft Surface' Cat:'NURBS Surfaces' BtnTxt:'Create UV Loft Surface' MnuTxt:'Create UV Loft Surface'
	58 ID:25030 Desc:'Create 1-Rail Sweep' Cat:'NURBS Surfaces' BtnTxt:'Create 1-Rail Sweep' MnuTxt:'Create 1-Rail Sweep'
	59 ID:25031 Desc:'Create 2-Rail Sweep' Cat:'NURBS Surfaces' BtnTxt:'Create 2-Rail Sweep' MnuTxt:'Create 2-Rail Sweep'
	60 ID:25032 Desc:'Create a Multicurve Trimmed Surface' Cat:'NURBS Surfaces' BtnTxt:'Create a Multicurve Trimmed Surface' MnuTxt:'Create a Multicurve Trimmed Surface'
	61 ID:25033 Desc:'Create Fillet Surface' Cat:'NURBS Surfaces' BtnTxt:'Create Fillet Surface' MnuTxt:'Create Fillet Surface'
	62 ID:25034 Desc:'Create Point' Cat:'NURBS Surfaces' BtnTxt:'Create Point' MnuTxt:'Create Point'
	63 ID:25035 Desc:'Create Curve Point' Cat:'NURBS Surfaces' BtnTxt:'Create Curve Point' MnuTxt:'Create Curve Point'
	64 ID:25036 Desc:'Create Offset Point' Cat:'NURBS Surfaces' BtnTxt:'Create Offset Point' MnuTxt:'Create Offset Point'
	65 ID:25037 Desc:'Create Curve-Curve Point' Cat:'NURBS Surfaces' BtnTxt:'Create Curve-Curve Point' MnuTxt:'Create Curve-Curve Point'
	66 ID:25038 Desc:'Create Surf Point' Cat:'NURBS Surfaces' BtnTxt:'Create Surf Point' MnuTxt:'Create Surf Point'
	67 ID:25039 Desc:'Create Surface-Curve Point' Cat:'NURBS Surfaces' BtnTxt:'Create Surface-Curve Point' MnuTxt:'Create Surface-Curve Point'
	68 ID:25041 Desc:'Fuse Curve CVs' Cat:'NURBS Surfaces' BtnTxt:'Fuse Curve CVs' MnuTxt:'Fuse Curve CVs'
	69 ID:25042 Desc:'Extend CV Curve' Cat:'NURBS Surfaces' BtnTxt:'Extend CV Curve' MnuTxt:'Extend CV Curve'
	70 ID:25043 Desc:'Refine CV Curve' Cat:'NURBS Surfaces' BtnTxt:'Refine CV Curve' MnuTxt:'Refine CV Curve'
	71 ID:25044 Desc:'Insert CV In Curve' Cat:'NURBS Surfaces' BtnTxt:'Insert CV In Curve' MnuTxt:'Insert CV In Curve'
	72 ID:25040 Desc:'Fuse Surface CVs' Cat:'NURBS Surfaces' BtnTxt:'Fuse Surface CVs' MnuTxt:'Fuse Surface CVs'
	73 ID:25045 Desc:'Refine CV Row' Cat:'NURBS Surfaces' BtnTxt:'Refine CV Row' MnuTxt:'Refine CV Row'
	74 ID:25046 Desc:'Refine CV Column' Cat:'NURBS Surfaces' BtnTxt:'Refine CV Column' MnuTxt:'Refine CV Column'
	75 ID:25047 Desc:'Refine CV Both' Cat:'NURBS Surfaces' BtnTxt:'Refine CV Both' MnuTxt:'Refine CV Both'
	76 ID:25048 Desc:'Insert CV Row' Cat:'NURBS Surfaces' BtnTxt:'Insert CV Row' MnuTxt:'Insert CV Row'
	77 ID:25049 Desc:'Insert CV Column' Cat:'NURBS Surfaces' BtnTxt:'Insert CV Column' MnuTxt:'Insert CV Column'
	78 ID:25050 Desc:'Insert CV Both' Cat:'NURBS Surfaces' BtnTxt:'Insert CV Both' MnuTxt:'Insert CV Both'
	79 ID:25051 Desc:'Fuse Points' Cat:'NURBS Surfaces' BtnTxt:'Fuse Points' MnuTxt:'Fuse Points'
	80 ID:25052 Desc:'Extend Point Curve' Cat:'NURBS Surfaces' BtnTxt:'Extend Point Curve' MnuTxt:'Extend Point Curve'
	81 ID:25053 Desc:'Refine Point Curve' Cat:'NURBS Surfaces' BtnTxt:'Refine Point Curve' MnuTxt:'Refine Point Curve'
	82 ID:25054 Desc:'Refine Point Row' Cat:'NURBS Surfaces' BtnTxt:'Refine Point Row' MnuTxt:'Refine Point Row'
	83 ID:25055 Desc:'Refine Point Column' Cat:'NURBS Surfaces' BtnTxt:'Refine Point Column' MnuTxt:'Refine Point Column'
	84 ID:25056 Desc:'Refine Point Both' Cat:'NURBS Surfaces' BtnTxt:'Refine Point Both' MnuTxt:'Refine Point Both'
	85 ID:25058 Desc:'Join Curves' Cat:'NURBS Surfaces' BtnTxt:'Join Curves' MnuTxt:'Join Curves'
	86 ID:25059 Desc:'Break Curve' Cat:'NURBS Surfaces' BtnTxt:'Break Curve' MnuTxt:'Break Curve'
	87 ID:25060 Desc:'Make First' Cat:'NURBS Surfaces' BtnTxt:'Make First' MnuTxt:'Make First'
	88 ID:25061 Desc:'Break Row' Cat:'NURBS Surfaces' BtnTxt:'Break Row' MnuTxt:'Break Row'
	89 ID:25062 Desc:'Break Column' Cat:'NURBS Surfaces' BtnTxt:'Break Column' MnuTxt:'Break Column'
	90 ID:25063 Desc:'Break Both' Cat:'NURBS Surfaces' BtnTxt:'Break Both' MnuTxt:'Break Both'
	91 ID:25064 Desc:'Join Surfaces' Cat:'NURBS Surfaces' BtnTxt:'Join Surfaces' MnuTxt:'Join Surfaces'
	92 ID:25065 Desc:'Extend Surface' Cat:'NURBS Surfaces' BtnTxt:'Extend Surface' MnuTxt:'Extend Surface'
	93 ID:30032 Desc:'CV Constrained U Move' Cat:'NURBS Surfaces' BtnTxt:'CV Constrained U Move' MnuTxt:'CV Constrained U Move'
	94 ID:30033 Desc:'CV Constrained V Move' Cat:'NURBS Surfaces' BtnTxt:'CV Constrained V Move' MnuTxt:'CV Constrained V Move'
	95 ID:30034 Desc:'CV Constrained Normal Move' Cat:'NURBS Surfaces' BtnTxt:'CV Constrained Normal Move' MnuTxt:'CV Constrained Normal Move'
12 ID:369982487 Name:'Editable Poly' ContextID:369982487 ContextName:'Editable Poly' NumActionItems:93
	1 ID:40008 Desc:'Object Level' Cat:'Editable Poly' BtnTxt:'Object Level' MnuTxt:'Object Level'
	2 ID:40003 Desc:'Vertex Level' Cat:'Editable Poly' BtnTxt:'Vertex Level' MnuTxt:'Vertex Level'
	3 ID:40004 Desc:'Edge Level' Cat:'Editable Poly' BtnTxt:'Edge Level' MnuTxt:'Edge Level'
	4 ID:40005 Desc:'Border Level' Cat:'Editable Poly' BtnTxt:'Border Level' MnuTxt:'Border Level'
	5 ID:40006 Desc:'Face Level' Cat:'Editable Poly' BtnTxt:'Face Level' MnuTxt:'Face Level'
	6 ID:40007 Desc:'Element Level' Cat:'Editable Poly' BtnTxt:'Element Level' MnuTxt:'Element Level'
	7 ID:40035 Desc:'Select By Vertex' Cat:'Editable Poly' BtnTxt:'Select By Vertex' MnuTxt:'Select By Vertex'
	8 ID:40012 Desc:'Ignore Backfacing in Selections' Cat:'Editable Poly' BtnTxt:'Ignore Backfacing in Selections' MnuTxt:'Ignore Backfacing in Selections'
	9 ID:40037 Desc:'Grow Selection' Cat:'Editable Poly' BtnTxt:'Grow Selection' MnuTxt:'Grow Selection'
	10 ID:40040 Desc:'Shrink Selection' Cat:'Editable Poly' BtnTxt:'Shrink Selection' MnuTxt:'Shrink Selection'
	11 ID:40042 Desc:'Select Edge Loop' Cat:'Editable Poly' BtnTxt:'Select Edge Loop' MnuTxt:'Select Edge Loop'
	12 ID:40041 Desc:'Select Edge Ring' Cat:'Editable Poly' BtnTxt:'Select Edge Ring' MnuTxt:'Select Edge Ring'
	13 ID:40021 Desc:'Hide' Cat:'Editable Poly' BtnTxt:'Hide' MnuTxt:'Hide'
	14 ID:40086 Desc:'Hide Unselected' Cat:'Editable Poly' BtnTxt:'Hide Unselected' MnuTxt:'Hide Unselected'
	15 ID:40033 Desc:'Unhide All' Cat:'Editable Poly' BtnTxt:'Unhide All' MnuTxt:'Unhide All'
	16 ID:40019 Desc:'Affect Backfacing' Cat:'Editable Poly' BtnTxt:'Affect Backfacing' MnuTxt:'Affect Backfacing'
	17 ID:40029 Desc:'Use Soft Selection' Cat:'Editable Poly' BtnTxt:'Use Soft Selection' MnuTxt:'Use Soft Selection'
	18 ID:40073 Desc:'Shaded Face Toggle' Cat:'Editable Poly' BtnTxt:'Shaded Face Toggle' MnuTxt:'Shaded Face Toggle'
	19 ID:40047 Desc:'Align To Grid' Cat:'Editable Poly' BtnTxt:'Align To Grid' MnuTxt:'Align To Grid'
	20 ID:40034 Desc:'Align To View' Cat:'Editable Poly' BtnTxt:'Align To View' MnuTxt:'Align To View'
	21 ID:40010 Desc:'Attach' Cat:'Editable Poly' BtnTxt:'Attach' MnuTxt:'Attach'
	22 ID:40043 Desc:'Attach List' Cat:'Editable Poly' BtnTxt:'Attach List' MnuTxt:'Attach List'
	23 ID:40024 Desc:'Collapse' Cat:'Editable Poly' BtnTxt:'Collapse' MnuTxt:'Collapse'
	24 ID:40014 Desc:'Create' Cat:'Editable Poly' BtnTxt:'Create' MnuTxt:'Create'
	25 ID:40015 Desc:'Cut' Cat:'Editable Poly' BtnTxt:'Cut' MnuTxt:'Cut'
	26 ID:40031 Desc:'Detach' Cat:'Editable Poly' BtnTxt:'Detach' MnuTxt:'Detach'
	27 ID:40046 Desc:'Make Planar' Cat:'Editable Poly' BtnTxt:'Make Planar' MnuTxt:'Make Planar'
